Step,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.0061,,0.0045,
2,0.0054,,0.0041,
3,0.0056,,0.0043,
4,0.0053,,0.0036,
5,0.0046,,0.0038,
6,0.0048,,0.0051,
7,0.0052,,0.0037,
8,0.0054,,0.0034,
9,0.0045,,0.0038,
10,0.0048,,0.0051,
11,0.0046,,0.0048,
12,0.0050,,0.0044,
13,0.0049,,0.0047,
14,0.0048,,0.0041,
15,0.0050,,0.0043,
16,0.0045,,0.0046,
17,0.0054,,0.0035,
18,0.0050,,0.0046,0.9999
19,0.0050,,,
20,0.0052,,,
21,0.0046,,,
22,0.0047,,,
23,0.0050,,,
24,0.0055,,,
25,0.0044,,,
26,0.0049,,,
27,0.0050,,,
28,0.0047,,,
29,0.0050,,,
30,0.0049,,,
31,0.0048,,,
32,0.0044,,,
33,0.0040,,,
34,0.0049,,,
35,0.0045,,,
36,0.0049,,,
37,0.0047,,,
38,0.0045,,,
39,0.0046,,,
40,0.0047,,,
41,0.0047,,,
42,0.0047,,,
43,0.0043,,,
44,0.0046,,,
45,0.0044,,,
46,0.0047,,,
47,0.0050,,,
48,0.0046,,,
49,0.0045,,,
50,0.0043,,,
51,0.0043,,,
52,0.0048,,,
53,0.0046,,,
54,0.0047,,,
55,0.0042,,,
56,0.0048,,,
57,0.0046,,,
58,0.0047,,,
59,0.0044,,,
60,0.0047,,,
61,0.0050,,,
62,0.0038,,,
63,0.0041,,,
64,0.0046,,,
65,0.0045,,,
66,0.0043,,,
67,0.0043,,,
68,0.0044,,,
69,0.0048,,,
70,0.0045,1.0000,,
